ID,X_Acceleration,Y_Acceleration,Z_Acceleration,Gait_Disorder
N_1,0.8,-8.84,4.46,Normal
N_2,0.86,-8.85,4.42,Normal
N_3,0.86,-8.75,4.41,Normal
N_4,0.81,-8.88,4.41,Normal
N_5,0.79,-9.02,4.34,Normal
N_6,0.75,-8.93,4.45,Normal
N_7,0.73,-8.97,4.5,Normal
N_8,0.77,-8.82,4.36,Normal
N_9,0.75,-8.82,4.37,Normal
N_10,0.8,-8.89,4.42,Normal
N_11,0.75,-8.64,4.43,Normal
N_12,0.73,-8.75,4.37,Normal
N_13,0.79,-9.03,4.36,Normal
N_14,0.79,-8.76,4.44,Normal
N_15,0.77,-8.86,4.36,Normal
N_16,0.74,-8.88,4.48,Normal
N_17,0.8,-9.01,4.45,Normal
N_18,0.76,-8.9,4.46,Normal
N_19,0.83,-8.74,4.39,Normal
N_20,0.76,-8.8,4.48,Normal
N_21,0.76,-8.85,4.37,Normal
N_22,0.72,-8.75,4.5,Normal
N_23,0.78,-8.73,4.45,Normal
N_24,0.75,-8.79,4.51,Normal
N_25,0.78,-8.67,4.3,Normal
N_26,0.82,-8.82,4.42,Normal
N_27,0.78,-9.03,4.42,Normal
N_28,0.8,-8.68,4.4,Normal
N_29,0.74,-8.88,4.48,Normal
N_30,0.8,-8.88,4.46,Normal
N_31,0.78,-8.73,4.39,Normal
N_32,0.76,-8.87,4.36,Normal
N_33,0.79,-8.8,4.43,Normal
N_34,0.77,-8.97,4.41,Normal
N_35,0.76,-8.91,4.42,Normal
N_36,0.8,-8.64,4.44,Normal
N_37,0.79,-8.84,4.33,Normal
N_38,0.78,-8.82,4.55,Normal
N_39,0.77,-8.8,4.43,Normal
N_40,0.72,-8.72,4.47,Normal
N_41,0.82,-8.92,4.5,Normal
N_42,0.71,-8.77,4.54,Normal
N_43,0.73,-8.89,4.43,Normal
N_44,0.75,-8.99,4.43,Normal
N_45,0.73,-8.78,4.38,Normal
N_46,0.86,-8.91,4.41,Normal
N_47,0.82,-8.95,4.44,Normal
N_48,0.85,-8.99,4.44,Normal
N_49,0.79,-8.75,4.37,Normal
N_50,0.71,-8.78,4.44,Normal
N_51,0.79,-8.8,4.4,Normal
N_52,0.79,-8.8,4.39,Normal
N_53,0.87,-8.78,4.37,Normal
N_54,0.81,-8.93,4.47,Normal
N_55,0.84,-8.91,4.48,Normal
N_56,0.8,-8.75,4.52,Normal
N_57,0.77,-8.91,4.39,Normal
N_58,0.74,-8.84,4.45,Normal
N_59,0.79,-8.75,4.43,Normal
N_60,0.85,-8.86,4.57,Normal
N_61,0.81,-8.92,4.38,Normal
N_62,0.8,-8.85,4.47,Normal
N_63,0.8,-8.84,4.39,Normal
N_64,0.7,-8.87,4.47,Normal
N_65,0.79,-8.95,4.44,Normal
N_66,0.8,-8.92,4.44,Normal
N_67,0.78,-8.94,4.45,Normal
N_68,0.81,-8.72,4.48,Normal
N_69,0.71,-8.92,4.46,Normal
N_70,0.81,-8.78,4.62,Normal
N_71,0.81,-8.72,4.48,Normal
N_72,0.81,-8.86,4.47,Normal
N_73,0.74,-8.85,4.41,Normal
N_74,0.78,-8.6,4.34,Normal
N_75,0.81,-8.99,4.41,Normal
N_76,0.83,-8.82,4.38,Normal
N_77,0.74,-8.76,4.39,Normal
N_78,0.79,-8.83,4.4,Normal
N_79,0.89,-8.77,4.33,Normal
N_80,0.79,-8.9,4.47,Normal
N_81,0.74,-8.84,4.46,Normal
N_82,0.82,-8.95,4.41,Normal
N_83,0.76,-8.9,4.52,Normal
N_84,0.8,-8.96,4.48,Normal
N_85,0.89,-8.73,4.35,Normal
N_86,0.76,-8.7,4.39,Normal
N_87,0.8,-8.75,4.38,Normal
N_88,0.78,-9.15,4.38,Normal
N_89,0.77,-8.95,4.51,Normal
N_90,0.71,-8.87,4.44,Normal
N_91,0.85,-8.97,4.49,Normal
N_92,0.78,-8.93,4.45,Normal
N_93,0.79,-8.89,4.43,Normal
N_94,0.76,-8.82,4.46,Normal
N_95,0.86,-8.95,4.54,Normal
N_96,0.68,-8.85,4.46,Normal
N_97,0.79,-8.89,4.42,Normal
N_98,0.76,-8.89,4.47,Normal
N_99,0.8,-8.9,4.47,Normal
N_100,0.8,-8.75,4.46,Normal
